units,amount,probability,type,stage,lead_source,lead_firstname,lead_lastname,lead,assignedTo,description,
33263,22461173.38,98.69,EXISTING,NEEDS ANALYSIS,CONVERTED,Letizia,Wile,Letizia Wile,XEROX,bbassn@lin.com,Triple-buffered coherent paradigm
26777,18081437.02,46.58,EXISTING,PROPOSAL OR PRICE QUOTE,DEAD,Lillian,Littlewood,Lillian Littlewood,CBRE,sdowtyo@lin.com,Re-contextualized global product
45180,30508246.8,35.12,EXISTING,PERCEPTION ANALYSIS,ASSIGNED,Raphael,Zorzi,Raphael Zorzi,GOLDMAN SACHS,oderham0@lin.com,Integrated homogeneous toolset
19127,12915698.02,30.8,NEW,NEGOTIATION OR REVIEW,DEAD,Calhoun,Jellett,Calhoun Jellett,FIDELITY INVESTMENTS,kvickress1@lin.com,Sharable grid-enabled framework
37727,25475534.02,40.41,NEW,PERCEPTION ANALYSIS,ASSIGNED,Jonell,Rosebotham,Jonell Rosebotham,EXXONMOBIL,jhrishchenko2@lin.com,Visionary client-driven matrix
39042,26363500.92,89.59,NEW,IDENTIFYING DECISION MAKERS,RECYCLED,Linnea,Berrill,Linnea Berrill,T-MOBILE,tbeacock3@lin.com,Customer-focused 24/7 interface
14600,9858796,62.97,EXISTING,VALUE PROPOSITION,ASSIGNED,Ewell,Gringley,Ewell Gringley,NIKE,sstockell4@lin.com,Multi-layered national monitoring
24912,16822077.12,30.43,NEW,CLOSED WON,NEW,Matty,Iffland,Matty Iffland,BEST BUY,jhackly5@lin.com,Polarised transitional time-frame
31770,21453010.2,39.45,EXISTING,IDENTIFYING DECISION MAKERS,IN PROCESS,Taryn,Tantum,Taryn Tantum,AMERICAN AIRLINES,lnorgan6@lin.com,Automated human-resource help-desk
30276,20444171.76,44.28,EXISTING,NEEDS ANALYSIS,RECYCLED,Barbara,Huge,Barbara Huge,BAKER HUGHES,lcholwell7@lin.com,Multi-lateral regional project
17416,11760328.16,45.92,NEW,CLOSED WON,ASSIGNED,Fonz,Plampin,Fonz Plampin,THE COCA-COLA COMPANY,broyan8@lin.com,Business-focused 6th generation encryption
20826,14062964.76,31.62,EXISTING,NEGOTIATION OR REVIEW,CONVERTED,Kata,Baugham,Kata Baugham,GENPACT,lknaggs9@lin.com,Seamless client-driven budgetary management
23529,15888192.54,53.71,EXISTING,PROSPECTING,DEAD,Dusty,Cockin,Dusty Cockin,JLL,abownasa@lin.com,Object-based dedicated policy
25380,17138098.8,93.26,NEW,IDENTIFYING DECISION MAKERS,CONVERTED,Cinderella,Spelsbury,Cinderella Spelsbury,U.S. BANK,cboseleyb@lin.com,Optional content-based parallelism
18170,12269474.2,42.93,EXISTING,CLOSED LOST,NEW,Vaclav,Goude,Vaclav Goude,PNC,lrainforthc@lin.com,Customer-focused radical utilisation
41982,28348765.32,82.68,NEW,CLOSED WON,IN PROCESS,Cassi,Rosiello,Cassi Rosiello,SPRINT,mommundsend@lin.com,Virtual intermediate capacity
42240,28522982.4,69.13,EXISTING,VALUE PROPOSITION,ASSIGNED,Nelson,Driscoll,Nelson Driscoll,AIRBUS,lganforthe@lin.com,Extended system-worthy concept
24307,16413544.82,94.03,NEW,NEEDS ANALYSIS,NEW,Darb,Antosch,Darb Antosch,CAPITAL ONE,kmedleyf@lin.com,Optimized bifurcated complexity
33798,22822437.48,42.11,EXISTING,PERCEPTION ANALYSIS,IN PROCESS,Silvie,Putt,Silvie Putt,DELTA AIR LINES,equickendeng@lin.com,Enhanced intermediate protocol
40415,27290632.9,37.71,NEW,VALUE PROPOSITION,DEAD,Lew,Vreiberg,Lew Vreiberg,MONDELēZ INTERNATIONAL,hhubbleh@lin.com,Function-based 4th generation website
41534,28046248.84,47.42,NEW,NEEDS ANALYSIS,NEW,Pip,Brewin,Pip Brewin,FARMERS INSURANCE,iairdriei@lin.com,Intuitive 5th generation parallelism
49036,33112049.36,57.91,EXISTING,PROSPECTING,RECYCLED,Hobey,Eunson,Hobey Eunson,AECOM,dghionj@lin.com,Digitized user-facing productivity
47053,31773008.78,54.4,NEW,PROPOSAL OR PRICE QUOTE,NEW,Mandie,Fairlie,Mandie Fairlie,UNITED STATES DEPARTMENT OF DEFENSE,iepslyk@lin.com,Organic 24/7 firmware
36591,24708438.66,49.12,NEW,PROSPECTING,CONVERTED,Boothe,Dumbar,Boothe Dumbar,METLIFE,xcanbyl@lin.com,Triple-buffered context-sensitive moratorium
30449,20560991.74,30.23,NEW,NEEDS ANALYSIS,DEAD,Glynnis,Dowda,Glynnis Dowda,TOTAL,sclotworthym@lin.com,Universal global instruction set
32750,22114765,36.55,EXISTING,CLOSED WON,DEAD,Dre,Cahalin,Dre Cahalin,CARGILL,bbassn@lin.com,Polarised executive product
46265,31240903.9,99.77,EXISTING,VALUE PROPOSITION,ASSIGNED,Daniel,Trusler,Daniel Trusler,UNITED AIRLINES,sdowtyo@lin.com,Decentralized optimizing monitoring
25910,17495986.6,77.68,NEW,VALUE PROPOSITION,RECYCLED,Marietta,Van,Marietta Van,MARY KAY INC.,oderham0@lin.com,Switchable intangible architecture
25292,17078675.92,58.66,NEW,NEGOTIATION OR REVIEW,CONVERTED,Rosabel,Keysall,Rosabel Keysall,COMCAST,kvickress1@lin.com,Cloned bifurcated circuit
15598,10532705.48,84.35,EXISTING,CLOSED WON,RECYCLED,Yule,Foli,Yule Foli,CATERPILLAR INC.,jhrishchenko2@lin.com,Extended asynchronous frame
39516,26683574.16,30.36,EXISTING,PROPOSAL OR PRICE QUOTE,CONVERTED,Genia,Kirkpatrick,Genia Kirkpatrick,JACOBS,tbeacock3@lin.com,Multi-channelled bifurcated superstructure
23655,15973275.3,41.26,EXISTING,IDENTIFYING DECISION MAKERS,CONVERTED,Keeley,Poultney,Keeley Poultney,BNY MELLON,sstockell4@lin.com,Phased 24 hour open architecture
20584,13899551.84,92.39,EXISTING,NEEDS ANALYSIS,DEAD,Reilly,Belk,Reilly Belk,RAYTHEON,jhackly5@lin.com,Front-line intermediate intranet
36294,24507886.44,75.68,EXISTING,CLOSED LOST,CONVERTED,Essie,McHugh,Essie McHugh,ELI LILLY AND COMPANY,lnorgan6@lin.com,Managed 24/7 concept
23106,15602557.56,68.25,NEW,CLOSED WON,ASSIGNED,Stillmann,Clemenza,Stillmann Clemenza,HP,lcholwell7@lin.com,Public-key stable hub
31856,21511082.56,31.91,NEW,PROPOSAL OR PRICE QUOTE,RECYCLED,Ave,Tuvey,Ave Tuvey,UBER,broyan8@lin.com,Front-line foreground migration
26376,17810657.76,52.55,EXISTING,PROSPECTING,DEAD,Rudolph,Ninnotti,Rudolph Ninnotti,KROGER,lknaggs9@lin.com,Pre-emptive national structure
41387,27946985.62,54.07,NEW,NEGOTIATION OR REVIEW,IN PROCESS,Etta,Manhood,Etta Manhood,THERMO FISHER SCIENTIFIC,abownasa@lin.com,Progressive mobile support
41185,27810583.1,30.53,EXISTING,PROSPECTING,DEAD,Margareta,Cottee,Margareta Cottee,NOVO NORDISK,cboseleyb@lin.com,Extended transitional analyzer
42708,28839004.08,49.1,NEW,CLOSED LOST,NEW,Demetre,Copsey,Demetre Copsey,H&R BLOCK,lrainforthc@lin.com,Re-contextualized empowering workforce
36037,24334344.62,68.87,EXISTING,CLOSED WON,CONVERTED,Selie,Blackbourn,Selie Blackbourn,SOCIAL SECURITY ADMINISTRATION,mommundsend@lin.com,Operative value-added middleware
11881,8022764.06,35.13,NEW,PROSPECTING,NEW,Wang,Howat,Wang Howat,COSTCO WHOLESALE,lganforthe@lin.com,Secured asynchronous monitoring
35521,23985910.46,49.63,NEW,PROPOSAL OR PRICE QUOTE,DEAD,Charmain,Keizman,Charmain Keizman,CONVERGYS,kmedleyf@lin.com,Polarised motivating customer loyalty
46061,31103150.86,38.63,NEW,PERCEPTION ANALYSIS,CONVERTED,Alyson,Kersaw,Alyson Kersaw,IQVIA,equickendeng@lin.com,Customizable methodical application
49504,33428071.04,34.08,NEW,IDENTIFYING DECISION MAKERS,IN PROCESS,Marybelle,Moultrie,Marybelle Moultrie,SALESFORCE,hhubbleh@lin.com,Cloned optimal moratorium
10850,7326571,70.34,EXISTING,CLOSED WON,ASSIGNED,Guilbert,Haddow,Guilbert Haddow,THE DOW CHEMICAL COMPANY,iairdriei@lin.com,Mandatory coherent productivity
16214,10948665.64,80.6,NEW,CLOSED WON,DEAD,Sly,Patry,Sly Patry,HILTON WORLDWIDE,dghionj@lin.com,Multi-channelled 3rd generation analyzer
16382,11062109.32,72.14,NEW,NEGOTIATION OR REVIEW,RECYCLED,Edgar,Rubke,Edgar Rubke,LOS ANGELES UNIFIED SCHOOL DISTRICT,iepslyk@lin.com,Up-sized 6th generation contingency
34592,23358593.92,94.09,EXISTING,IDENTIFYING DECISION MAKERS,RECYCLED,Kalvin,Joao,Kalvin Joao,ARMY NATIONAL GUARD,xcanbyl@lin.com,Universal demand-driven encryption
27129,18319128.54,71.3,EXISTING,PERCEPTION ANALYSIS,ASSIGNED,Artie,Kirsche,Artie Kirsche,NORDSTROM,sclotworthym@lin.com,Cross-platform content-based portal
48698,32883811.48,37.55,NEW,NEGOTIATION OR REVIEW,IN PROCESS,Maribeth,MacGahey,Maribeth MacGahey,LIFESPAN,bbassn@lin.com,Integrated global emulation
47031,31758153.06,69.63,EXISTING,CLOSED WON,RECYCLED,Edwin,Wallage,Edwin Wallage,FEDEX,sdowtyo@lin.com,Ameliorated high-level framework
26327,17777570.02,62.21,EXISTING,NEGOTIATION OR REVIEW,CONVERTED,Franciskus,Wagge,Franciskus Wagge,IBM,oderham0@lin.com,Polarised well-modulated project
26421,17841044.46,36.39,NEW,NEGOTIATION OR REVIEW,IN PROCESS,Doyle,Shitliffe,Doyle Shitliffe,US ARMY,kvickress1@lin.com,Fully-configurable even-keeled knowledge base
39261,26511382.86,43.69,NEW,NEGOTIATION OR REVIEW,NEW,Dinny,Bickmore,Dinny Bickmore,HEWLETT-PACKARD,jhrishchenko2@lin.com,Exclusive human-resource workforce
22194,14986720.44,49.28,EXISTING,VALUE PROPOSITION,RECYCLED,Kariotta,Maddocks,Kariotta Maddocks,COGNIZANT TECHNOLOGY SOLUTIONS,tbeacock3@lin.com,Seamless system-worthy service-desk
35979,24295179.54,53.31,EXISTING,PROSPECTING,NEW,Lexy,Askem,Lexy Askem,WALMART,sstockell4@lin.com,Fully-configurable bi-directional frame
26742,18057802.92,40.79,NEW,VALUE PROPOSITION,NEW,Reeba,Semper,Reeba Semper,MICROSOFT,jhackly5@lin.com,Inverse leading edge collaboration
24652,16646509.52,81.52,NEW,CLOSED LOST,ASSIGNED,Annamaria,Lorenz,Annamaria Lorenz,AT&T,lnorgan6@lin.com,Customizable 4th generation artificial intelligence
27740,18731712.4,56.59,EXISTING,CLOSED WON,ASSIGNED,Evita,Gallihawk,Evita Gallihawk,UNITED STATES AIR FORCE,lcholwell7@lin.com,Down-sized zero defect function
18544,12522021.44,61.26,NEW,IDENTIFYING DECISION MAKERS,NEW,Tirrell,Ditch,Tirrell Ditch,PWC,broyan8@lin.com,Multi-layered eco-centric intranet
35045,23664486.7,78.05,EXISTING,NEGOTIATION OR REVIEW,RECYCLED,Oralle,Dene,Oralle Dene,WELLS FARGO,lknaggs9@lin.com,Assimilated demand-driven analyzer
32306,21814949.56,69.3,EXISTING,PROSPECTING,ASSIGNED,Lara,Harkin,Lara Harkin,CITI,abownasa@lin.com,Synergistic analyzing Graphic Interface
39561,26713960.86,98.56,EXISTING,CLOSED WON,RECYCLED,Umberto,Matkovic,Umberto Matkovic,BANK OF AMERICA,cboseleyb@lin.com,Robust demand-driven strategy
34146,23057427.96,52.77,NEW,NEEDS ANALYSIS,ASSIGNED,Teddie,Bichard,Teddie Bichard,JPMORGAN CHASE & CO.,lrainforthc@lin.com,Up-sized heuristic algorithm
14238,9614351,65.21,NEW,NEEDS ANALYSIS,ASSIGNED,Conchita,Obin,Conchita Obin,US NAVY,mommundsend@lin.com,Phased maximized ability
48370,32662326.2,59.12,EXISTING,NEEDS ANALYSIS,IN PROCESS,Sophia,Harrismith,Sophia Harrismith,AMAZON,lganforthe@lin.com,Universal actuating orchestration
32834,22171486.84,57.54,NEW,CLOSED WON,ASSIGNED,Hobart,Walpole,Hobart Walpole,APPLE,kmedleyf@lin.com,Upgradable 6th generation secured line
13563,9158551,59.21,EXISTING,NEEDS ANALYSIS,CONVERTED,Garwood,Burrells,Garwood Burrells,ORACLE,equickendeng@lin.com,Re-contextualized composite infrastructure
12454,8409688,34.65,EXISTING,PROSPECTING,IN PROCESS,Rudolph,Hinrichsen,Rudolph Hinrichsen,GOOGLE,hhubbleh@lin.com,Seamless motivating open architecture
11345,7660824.7,77.6,NEW,PROSPECTING,ASSIGNED,Lyssa,Pedel,Lyssa Pedel,UNITED STATES POSTAL SERVICE,iairdriei@lin.com,Streamlined optimizing contingency
28289,19102430.14,66.81,NEW,NEGOTIATION OR REVIEW,NEW,Prinz,Lockhead,Prinz Lockhead,MCDONALD'S CORPORATION,dghionj@lin.com,Sharable web-enabled orchestration
21562,14559956.12,87.35,NEW,CLOSED LOST,IN PROCESS,Lee,Ybarra,Lee Ybarra,BOEING,iepslyk@lin.com,Down-sized radical methodology
18485,12482181.1,94.68,EXISTING,PROSPECTING,DEAD,Stevena,Guswell,Stevena Guswell,KAISER PERMANENTE,xcanbyl@lin.com,Assimilated human-resource capacity
23164,15641722.64,89.25,EXISTING,CLOSED WON,ASSIGNED,Jacquie,Bardnam,Jacquie Bardnam,FORD MOTOR COMPANY,sclotworthym@lin.com,Distributed modular system engine
43334,29261716.84,91.45,EXISTING,PROSPECTING,IN PROCESS,Darrin,Campo,Darrin Campo,INTEL CORPORATION,bbassn@lin.com,Advanced empowering capability
43145,29134092.7,82.76,NEW,NEEDS ANALYSIS,CONVERTED,Jolie,Byneth,Jolie Byneth,DEPARTMENT OF VETERANS AFFAIRS,sdowtyo@lin.com,Versatile value-added synergy
36533,24669273.58,71.02,NEW,PROPOSAL OR PRICE QUOTE,DEAD,Karla,Purvey,Karla Purvey,CISCO,oderham0@lin.com,Extended optimizing superstructure
40283,27201498.58,92.4,EXISTING,PERCEPTION ANALYSIS,ASSIGNED,Liza,Dayer,Liza Dayer,GENERAL MOTORS,kvickress1@lin.com,Diverse exuding knowledge user
14503,9793295,38.17,NEW,PROPOSAL OR PRICE QUOTE,RECYCLED,Natalya,Kershow,Natalya Kershow,PEPSICO,jhrishchenko2@lin.com,Future-proofed systemic adapter
12504,8443451,55.92,EXISTING,NEGOTIATION OR REVIEW,IN PROCESS,Sherlocke,Grimster,Sherlocke Grimster,UPS,tbeacock3@lin.com,Down-sized multimedia artificial intelligence
17165,11590837.9,83.41,NEW,IDENTIFYING DECISION MAKERS,DEAD,Kinnie,Hardern,Kinnie Hardern,PFIZER,sstockell4@lin.com,Open-architected optimizing system engine
25270,17063820.2,59.62,NEW,CLOSED WON,DEAD,Ulla,Stailey,Ulla Stailey,DELL,jhackly5@lin.com,Self-enabling regional middleware
15596,10531354.96,80.33,EXISTING,NEEDS ANALYSIS,CONVERTED,Hyacinthie,Unwins,Hyacinthie Unwins,HONEYWELL,lnorgan6@lin.com,Optional zero tolerance framework
15477,10450999.02,79.27,NEW,CLOSED WON,ASSIGNED,Benjy,Popworth,Benjy Popworth,SCHLUMBERGER,lcholwell7@lin.com,Fully-configurable 6th generation adapter
27341,18462283.66,30.73,EXISTING,NEGOTIATION OR REVIEW,ASSIGNED,Benson,Manilow,Benson Manilow,LOCKHEED MARTIN,broyan8@lin.com,Balanced full-range software
23324,15749764.24,36.81,EXISTING,CLOSED LOST,NEW,Suzie,Churchard,Suzie Churchard,STARBUCKS,lknaggs9@lin.com,Enhanced context-sensitive middleware
45794,30922856.44,41.29,NEW,PROPOSAL OR PRICE QUOTE,CONVERTED,Kristine,Fishwick,Kristine Fishwick,MORGAN STANLEY,abownasa@lin.com,Robust tangible standardization
23112,15606609.12,98.15,EXISTING,NEGOTIATION OR REVIEW,RECYCLED,Alexa,Rostern,Alexa Rostern,THE HOME DEPOT,cboseleyb@lin.com,Extended executive synergy
25499,17218454.74,54.11,EXISTING,NEGOTIATION OR REVIEW,DEAD,Christal,Bowlesworth,Christal Bowlesworth,JOHNSON & JOHNSON,lrainforthc@lin.com,Digitized demand-driven toolset
43158,29142871.08,34.91,NEW,NEGOTIATION OR REVIEW,CONVERTED,Denna,Wedgwood,Denna Wedgwood,SCHNEIDER ELECTRIC,mommundsend@lin.com,Expanded discrete instruction set
43824,29592594.24,99.13,EXISTING,IDENTIFYING DECISION MAKERS,IN PROCESS,Ronnie,Shephard,Ronnie Shephard,STATE FARM,lganforthe@lin.com,Enhanced 3rd generation policy
40268,27191369.68,64.75,NEW,VALUE PROPOSITION,IN PROCESS,Ruby,Juschka,Ruby Juschka,GE,kmedleyf@lin.com,Decentralized clear-thinking intranet
20818,14057562.68,33.89,NEW,NEGOTIATION OR REVIEW,DEAD,Lucie,Oleszkiewicz,Lucie Oleszkiewicz,PROCTER & GAMBLE,equickendeng@lin.com,Networked eco-centric database
41837,28250852.62,92.56,EXISTING,PROSPECTING,NEW,Chadwick,Fleischmann,Chadwick Fleischmann,WALGREENS,hhubbleh@lin.com,Extended optimizing policy
49112,33163369.12,71.71,EXISTING,NEGOTIATION OR REVIEW,ASSIGNED,Ellery,Redsall,Ellery Redsall,"KELLER WILLIAMS REALTY, INC.",iairdriei@lin.com,Versatile web-enabled ability
16128,10890593.28,57.7,EXISTING,NEEDS ANALYSIS,IN PROCESS,Lethia,Martijn,Lethia Martijn,UNITED STATES MARINE CORPS,dghionj@lin.com,Versatile even-keeled service-desk
39288,26529614.88,56.95,EXISTING,CLOSED WON,RECYCLED,Giulia,Bussens,Giulia Bussens,DELL EMC,iepslyk@lin.com,Cross-platform zero tolerance neural-net
17181,11601642.06,31.48,NEW,IDENTIFYING DECISION MAKERS,DEAD,Rees,Vaggs,Rees Vaggs,VERIZON WIRELESS,xcanbyl@lin.com,Persevering clear-thinking knowledge base
37862,25566694.12,50.65,EXISTING,VALUE PROPOSITION,ASSIGNED,Lyon,Hedgecock,Lyon Hedgecock,J.P. MORGAN,sclotworthym@lin.com,Switchable tangible architecture
10296,6952476.96,34.22,NEW,IDENTIFYING DECISION MAKERS,RECYCLED,Erick,Kittoe,Erick Kittoe,VERIZON,bbassn@lin.com,Organized national customer loyalty
38701,26133237.26,51.32,NEW,NEGOTIATION OR REVIEW,CONVERTED,Barbette,Scroggins,Barbette Scroggins,KPMG,sdowtyo@lin.com,Compatible bandwidth-monitored superstructure
21152,14283099.52,38.63,EXISTING,NEGOTIATION OR REVIEW,RECYCLED,Ashla,Duffree,Ashla Duffree,LINKEDIN,oderham0@lin.com,Grass-roots scalable system engine
45056,30424514.56,64.78,NEW,CLOSED WON,ASSIGNED,Rosamond,Dugood,Rosamond Dugood,FACEBOOK,kvickress1@lin.com,Diverse static application
37811,25532255.86,46.2,EXISTING,PERCEPTION ANALYSIS,DEAD,Marie-ann,Matushenko,Marie-ann Matushenko,NORTHROP GRUMMAN CORPORATION,jhrishchenko2@lin.com,Integrated dynamic approach
28709,19386039.34,61.45,NEW,IDENTIFYING DECISION MAKERS,NEW,Judie,Whitten,Judie Whitten,ADP,tbeacock3@lin.com,Diverse radical approach
12916,8721658,81.09,NEW,IDENTIFYING DECISION MAKERS,ASSIGNED,Gussi,Croyser,Gussi Croyser,MEDTRONIC,sstockell4@lin.com,Switchable directional ability
39118,26414820.68,66.8,NEW,CLOSED WON,ASSIGNED,Kellia,Lorroway,Kellia Lorroway,ABBOTT,jhackly5@lin.com,Exclusive dynamic help-desk
28533,19267193.58,63.23,NEW,CLOSED WON,IN PROCESS,Oberon,Mahaddy,Oberon Mahaddy,CHEVRON,lnorgan6@lin.com,Re-engineered systematic emulation
35446,23935265.96,33.99,EXISTING,IDENTIFYING DECISION MAKERS,NEW,Kym,Averay,Kym Averay,AMERICAN EXPRESS,lcholwell7@lin.com,Networked high-level Graphic Interface
34177,23078361.02,55.13,NEW,PROPOSAL OR PRICE QUOTE,DEAD,Traci,Negal,Traci Negal,SAMSUNG ELECTRONICS,broyan8@lin.com,Optional non-volatile data-warehouse
34206,23097943.56,66.53,NEW,NEEDS ANALYSIS,CONVERTED,Jada,O' Donohoe,Jada O' Donohoe,MACY'S,lknaggs9@lin.com,De-engineered homogeneous approach
39762,26849688.12,43.64,NEW,VALUE PROPOSITION,DEAD,Ursulina,Abbes,Ursulina Abbes,THOMSON REUTERS,abownasa@lin.com,Decentralized non-volatile hub
31141,21028271.66,85.98,NEW,VALUE PROPOSITION,IN PROCESS,Hamish,Branson,Hamish Branson,AVON,cboseleyb@lin.com,Distributed multi-state intranet
28350,19143621,71.5,NEW,NEEDS ANALYSIS,NEW,Johnathan,York,Johnathan York,CVS HEALTH,lrainforthc@lin.com,Grass-roots human-resource budgetary management
12213,8246950.38,39.15,NEW,PROPOSAL OR PRICE QUOTE,IN PROCESS,Heriberto,Songhurst,Heriberto Songhurst,HALLIBURTON,mommundsend@lin.com,Vision-oriented upward-trending ability
45867,30972150.42,76.25,NEW,CLOSED WON,IN PROCESS,Lanie,O'Bradane,Lanie O'Bradane,CSC,lganforthe@lin.com,Versatile actuating knowledge base
29495,19916793.7,76.23,NEW,PERCEPTION ANALYSIS,CONVERTED,Adan,Cuniffe,Adan Cuniffe,MERCK,kmedleyf@lin.com,Secured secondary migration
40982,27673505.32,34.2,EXISTING,CLOSED LOST,RECYCLED,Herculie,Charkham,Herculie Charkham,KPMG,equickendeng@lin.com,Sharable multi-tasking strategy
26784,18086163.84,33.15,EXISTING,CLOSED WON,ASSIGNED,Romola,Collomosse,Romola Collomosse,DXC TECHNOLOGY,hhubbleh@lin.com,Centralized mobile toolset
30503,20597455.78,61.55,EXISTING,PROSPECTING,DEAD,Nadia,Le Barr,Nadia Le Barr,JOHNSON CONTROLS,iairdriei@lin.com,Cross-group even-keeled flexibility
29425,19869525.5,77.23,NEW,CLOSED WON,CONVERTED,Krystalle,Lacaze,Krystalle Lacaze,ALLSTATE,dghionj@lin.com,Expanded clear-thinking moderator
25368,17129995.68,57.33,NEW,VALUE PROPOSITION,DEAD,Lillian,Littlewood,Lillian Littlewood,MARRIOTT INTERNATIONAL,iepslyk@lin.com,Programmable actuating time-frame
36552,24682103.52,99.91,NEW,PROPOSAL OR PRICE QUOTE,ASSIGNED,Raphael,Zorzi,Raphael Zorzi,3M HEALTH CARE,xcanbyl@lin.com,Progressive secondary circuit
29175,19700710.5,68.04,NEW,NEGOTIATION OR REVIEW,NEW,Madelene,Doonican,Madelene Doonican,XEROX,sclotworthym@lin.com,Integrated didactic moderator
14413,9732522,90.56,NEW,PERCEPTION ANALYSIS,RECYCLED,Broddy,Ker,Broddy Ker,CBRE,bbassn@lin.com,Profit-focused multi-state ability
44706,30188173.56,71.31,EXISTING,PROPOSAL OR PRICE QUOTE,RECYCLED,Mary,Hebron,Mary Hebron,NYC DEPARTMENT OF EDUCATION,sdowtyo@lin.com,Quality-focused user-facing data-warehouse
27548,18602062.48,53.91,EXISTING,VALUE PROPOSITION,CONVERTED,Kata,Baugham,Kata Baugham,GOLDMAN SACHS,oderham0@lin.com,Optimized methodical array
34879,23552393.54,55.44,EXISTING,NEGOTIATION OR REVIEW,RECYCLED,Claudianus,Bastin,Claudianus Bastin,FIDELITY INVESTMENTS,kvickress1@lin.com,Function-based coherent structure
10610,7164508,67.64,NEW,CLOSED LOST,DEAD,Dusty,Cockin,Dusty Cockin,EXXONMOBIL,jhrishchenko2@lin.com,User-centric 4th generation model
15770,10648850.2,97.86,EXISTING,PROSPECTING,CONVERTED,Shelby,Cescon,Shelby Cescon,T-MOBILE,tbeacock3@lin.com,Focused composite protocol
29227,19735824.02,75.63,NEW,PERCEPTION ANALYSIS,ASSIGNED,Nelson,Driscoll,Nelson Driscoll,NIKE,sstockell4@lin.com,Pre-emptive bottom-line open system
31650,21371979,58.12,EXISTING,CLOSED LOST,DEAD,Lew,Vreiberg,Lew Vreiberg,BEST BUY,jhackly5@lin.com,Reactive well-modulated monitoring
16694,11272790.44,41.34,EXISTING,PROSPECTING,NEW,Lorrin,Gibbeson,Lorrin Gibbeson,BAKER HUGHES,lnorgan6@lin.com,Profound national encryption
14121,9535346,54.21,NEW,PERCEPTION ANALYSIS,NEW,Gardiner,Kinsman,Gardiner Kinsman,THE COCA-COLA COMPANY,lcholwell7@lin.com,Persevering intermediate definition
21689,14645714.14,38.25,EXISTING,CLOSED WON,RECYCLED,Humberto,Hatherill,Humberto Hatherill,GENPACT,broyan8@lin.com,Triple-buffered 5th generation data-warehouse
29643,20016732.18,77.5,EXISTING,NEEDS ANALYSIS,NEW,Dallas,Parton,Dallas Parton,JLL,lknaggs9@lin.com,Sharable neutral infrastructure
22627,15279108.02,95.95,NEW,VALUE PROPOSITION,DEAD,Dre,Cahalin,Dre Cahalin,U.S. BANK,abownasa@lin.com,Focused client-driven methodology
32668,22059393.68,94.43,EXISTING,CLOSED WON,IN PROCESS,Rog,Pechard,Rog Pechard,PNC,cboseleyb@lin.com,Total regional utilisation
38173,25776699.98,40.33,EXISTING,IDENTIFYING DECISION MAKERS,ASSIGNED,Daniel,Trusler,Daniel Trusler,SPRINT,lrainforthc@lin.com,Down-sized logistical infrastructure
39087,26393887.62,39.92,EXISTING,PROSPECTING,RECYCLED,Elwood,Weippert,Elwood Weippert,AIRBUS,mommundsend@lin.com,Seamless zero tolerance matrix
17268,11660389.68,53.24,NEW,NEGOTIATION OR REVIEW,RECYCLED,Marietta,Van,Marietta Van,CAPITAL ONE,lganforthe@lin.com,Adaptive logistical migration
36010,24316112.6,70.3,EXISTING,PERCEPTION ANALYSIS,CONVERTED,Rosabel,Keysall,Rosabel Keysall,DELTA AIR LINES,kmedleyf@lin.com,Optimized 3rd generation synergy
15241,10291637.66,38.57,EXISTING,CLOSED WON,RECYCLED,Orazio,Mayne,Orazio Mayne,MONDELēZ INTERNATIONAL,equickendeng@lin.com,Reduced user-facing open system
40165,27121817.9,49.65,EXISTING,NEEDS ANALYSIS,CONVERTED,Anders,Hawkswell,Anders Hawkswell,FARMERS INSURANCE,hhubbleh@lin.com,Re-engineered bandwidth-monitored help-desk
41668,28136733.68,39.1,NEW,CLOSED WON,IN PROCESS,Lidia,Alessandrelli,Lidia Alessandrelli,AECOM,iairdriei@lin.com,Programmable local matrices
23477,15853079.02,66.24,EXISTING,VALUE PROPOSITION,CONVERTED,Keeley,Poultney,Keeley Poultney,UNITED STATES DEPARTMENT OF DEFENSE,dghionj@lin.com,Grass-roots systematic encoding
40486,27338576.36,52.47,EXISTING,IDENTIFYING DECISION MAKERS,DEAD,Reilly,Belk,Reilly Belk,TOTAL,iepslyk@lin.com,Universal mobile help-desk
37833,25547111.58,68.04,EXISTING,NEEDS ANALYSIS,CONVERTED,Essie,McHugh,Essie McHugh,CARGILL,xcanbyl@lin.com,Robust bifurcated challenge
29754,20091686.04,77.69,EXISTING,PROPOSAL OR PRICE QUOTE,NEW,Rudiger,Davidai,Rudiger Davidai,UNITED AIRLINES,sclotworthym@lin.com,Seamless methodical throughput
24812,16754551.12,31.68,EXISTING,CLOSED LOST,ASSIGNED,Hill,Cohrs,Hill Cohrs,MARY KAY INC.,bbassn@lin.com,Exclusive encompassing complexity
47943,32373990.18,49.76,NEW,NEGOTIATION OR REVIEW,IN PROCESS,Etta,Manhood,Etta Manhood,LIBERTY MUTUAL INSURANCE,sdowtyo@lin.com,Innovative bi-directional task-force
39480,26659264.8,67.9,NEW,NEGOTIATION OR REVIEW,DEAD,Margareta,Cottee,Margareta Cottee,COMCAST,oderham0@lin.com,Future-proofed intangible orchestration
